S;I;R;S->I;I->R;I->S;R->S;a;b;c;e;R0
39800.0;200.0;0.0;613;106;28;0;7.701005E-5;0.53;0.0658;NaN;5.170195
39215.0;679.0;106.0;1335;411;81;11;5.013711E-5;0.6053019;0.04708475;0.10377359;3.074073
37972.0;1522.0;506.0;2182;926;170;46;3.7755188E-5;0.60841;0.0437387;0.09090909;2.315741
36006.0;2608.0;1386.0;2851;1584;311;126;3.0360909E-5;0.607362;0.046821482;0.09090909;1.8564155
33592.0;3564.0;2844.0;3654;2130;441;268;3.0520736E-5;0.5976431;0.04978659;0.094233476;1.8856556
30647.0;4647.0;4706.0;4168;2772;522;468;2.926625E-5;0.59651387;0.04532381;0.09944751;1.8239036
27469.0;5521.0;7010.0;4523;3321;642;689;2.9824007E-5;0.6015215;0.04633639;0.098288156;1.8413918
24277.0;6081.0;9642.0;4655;3659;720;1000;3.1531865E-5;0.60171026;0.047158133;0.103712924;1.9438065
21342.0;6357.0;12301.0;4510;3827;750;1223;3.324216E-5;0.6020135;0.046954516;0.09942281;2.0489242
18805.0;6290.0;14905.0;4273;3801;769;1515;3.612509E-5;0.6042925;0.04837823;0.10164374;2.2139857
16816.0;5993.0;17191.0;4024;3632;741;1680;3.9929237E-5;0.60604036;0.048710845;0.097725555;2.4393532
15213.0;5644.0;19143.0;3684;3434;660;1898;4.290597E-5;0.6084337;0.04578911;0.09914851;2.6233246
14087.0;5234.0;20679.0;3353;3164;611;2000;4.54759E-5;0.604509;0.046168324;0.09671648;2.7956038
13345.0;4812.0;21843.0;3015;2906;556;2194;4.6950812E-5;0.60390687;0.045766372;0.10044408;2.890734
13080.0;4365.0;22555.0;2624;2612;522;2201;4.5959136E-5;0.59839636;0.048026826;0.09758368;2.843904
13179.0;3855.0;22966.0;2257;2328;452;2348;4.4424723E-5;0.6038911;0.0464439;0.10223809;2.7324212
13722.0;3332.0;22946.0;2210;1995;420;2253;4.8335907E-5;0.5987395;0.050579056;0.098187044;2.977639
14185.0;3127.0;22688.0;2027;1878;376;2215;4.569793E-5;0.6005756;0.048028003;0.097628705;2.8182344
14749.0;2900.0;22351.0;1896;1776;324;2270;4.432796E-5;0.61241376;0.043302737;0.10156145;2.704093
15447.0;2696.0;21857.0;1879;1599;319;2185;4.511934E-5;0.5931009;0.048145704;0.09996797;2.8144767
16072.0;2657.0;21271.0;1998;1615;317;2114;4.6787947E-5;0.6078284;0.046789013;0.09938414;2.8589494
16505.0;2723.0;20772.0;2107;1588;347;2039;4.6881483E-5;0.5831803;0.05311657;0.09816099;2.9471455
16784.0;2895.0;20321.0;2244;1728;351;1974;4.6182646E-5;0.59689116;0.048874334;0.097140886;2.860645
16865.0;3060.0;20075.0;2405;1847;371;1999;4.6602294E-5;0.6035948;0.048060894;0.099576585;2.8605468
16830.0;3247.0;19923.0;2528;1983;386;2068;4.626054E-5;0.6107176;0.04627749;0.103799626;2.8164923
16756.0;3406.0;19838.0;2622;2012;395;1949;4.5942823E-5;0.59072226;0.04746468;0.09824579;2.879584
16478.0;3621.0;19901.0;2686;2186;421;2061;4.501663E-5;0.60370064;0.04607623;0.10356264;2.7712054
16274.0;3700.0;20026.0;2864;2218;462;1968;4.7563848E-5;0.59945947;0.050013438;0.09827225;2.9293818
15840.0;3884.0;20276.0;2890;2257;482;2092;4.6974637E-5;0.58110195;0.051984772;0.10317617;2.967975
15524.0;4035.0;20441.0;2992;2448;477;2094;4.776551E-5;0.6066914;0.046495214;0.10244117;2.9250758
15103.0;4102.0;20795.0;3165;2482;478;2070;5.1087525E-5;0.6050707;0.046020526;0.09954316;3.1385784
14486.0;4307.0;21207.0;3100;2528;541;2148;4.9686496E-5;0.5869515;0.051882803;0.10128731;3.1110725
14075.0;4338.0;21587.0;3026;2585;515;2144;4.955996E-5;0.5958967;0.047974456;0.09931903;3.078874
13708.0;4264.0;22028.0;2889;2572;503;2236;4.942609E-5;0.60318947;0.046809494;0.10150717;3.0416105
13558.0;4078.0;22364.0;2715;2435;489;2229;4.9105143E-5;0.5971064;0.048311666;0.099669114;3.0433078
13561.0;3869.0;22570.0;2638;2300;479;2266;5.0278737E-5;0.59446883;0.050206624;0.10039876;3.1196313
13668.0;3728.0;22604.0;2604;2213;472;2213;5.1104613E-5;0.5936159;0.051452067;0.09790303;3.1689444
13749.0;3647.0;22604.0;2488;2213;438;2288;4.9618484E-5;0.60680014;0.047222797;0.101221025;3.0346632
13987.0;3484.0;22529.0;2500;2099;406;2328;5.1302355E-5;0.60246843;0.046325434;0.10333348;3.1629372
14221.0;3479.0;22300.0;2503;2066;412;2204;5.0591352E-5;0.5938488;0.048098385;0.09883408;3.1523683
14334.0;3504.0;22162.0;2478;2132;410;2232;4.9336668E-5;0.6084475;0.04581522;0.10071293;3.0163217
14498.0;3440.0;22062.0;2460;2074;401;2182;4.932517E-5;0.602907;0.046289038;0.09890309;3.039154
14621.0;3425.0;21954.0;2501;1988;411;2209;4.9943163E-5;0.58043796;0.050347444;0.10061948;3.167046
14740.0;3527.0;21733.0;2576;2086;439;2182;4.9549915E-5;0.59143746;0.05085312;0.100400314;3.0858252
14785.0;3578.0;21637.0;2590;2142;412;2112;4.8959628E-5;0.59865844;0.046213727;0.09761058;3.0368578
14719.0;3614.0;21667.0;2596;2172;436;2063;4.880207E-5;0.60099614;0.048136603;0.09521392;3.007217
14622.0;3602.0;21776.0;2575;2189;459;2226;4.8890754E-5;0.60771793;0.04998819;0.10222263;2.9734101
14732.0;3529.0;21739.0;2570;2139;451;2158;4.9433318E-5;0.6061207;0.050337084;0.09926859;3.0121248
14771.0;3509.0;21720.0;2557;2051;446;2164;4.9332994E-5;0.58449703;0.052811146;0.099631675;3.0963352
14824.0;3569.0;21607.0;2587;2103;427;2164;4.8897255E-5;0.5892407;0.049143802;0.10015273;3.063812
14828.0;3626.0;21546.0;2638;2216;424;2193;4.9064165E-5;0.61114174;0.04547046;0.10178223;2.9889278
14807.0;3624.0;21569.0;2605;2166;424;2140;4.8545888E-5;0.5976821;0.047070306;0.09921647;3.0117536
14766.0;3639.0;21595.0;2542;2199;447;2162;4.730757E-5;0.6042869;0.04860779;0.10011577;2.8983278
14833.0;3535.0;21632.0;2634;2123;420;2098;5.0233954E-5;0.6005658;0.04745753;0.09698594;3.1007497
14717.0;3626.0;21657.0;2604;2174;446;2147;4.8797086E-5;0.5995588;0.049254492;0.09913654;3.0083904
14706.0;3610.0;21684.0;2668;2153;443;2206;5.0255552E-5;0.5963989;0.049527783;0.101734;3.1121523
14687.0;3682.0;21631.0;2712;2174;484;2147;5.0150215E-5;0.59044;0.053836785;0.099255696;3.1135824
14606.0;3736.0;21658.0;2746;2254;459;2224;5.032252E-5;0.60331905;0.048735697;0.10268723;3.087012
14543.0;3769.0;21688.0;2689;2249;457;2241;4.9058093E-5;0.59671;0.048899844;0.10332903;3.0394883
14552.0;3752.0;21696.0;2647;2345;421;2101;4.8480648E-5;0.625;0.04207756;0.096838124;2.9070473
14427.0;3633.0;21940.0;2533;2141;439;2143;4.8327434E-5;0.5893201;0.04962523;0.09767548;3.0254505
14476.0;3586.0;21938.0;2548;2113;447;2183;4.908407E-5;0.5892359;0.05120233;0.099507704;3.065655
14558.0;3574.0;21868.0;2668;2129;447;2120;5.127782E-5;0.5956911;0.050566893;0.09694531;3.1738298
14457.0;3666.0;21877.0;2617;2230;406;2213;4.9377955E-5;0.6082924;0.043380603;0.101156466;3.0308423
14459.0;3647.0;21894.0;2503;2235;437;2200;4.746646E-5;0.6128325;0.046392158;0.10048415;2.8801389
14593.0;3478.0;21929.0;2538;2080;446;2221;5.0005463E-5;0.5980449;0.051544566;0.101281404;3.079204
14722.0;3490.0;21788.0;2554;2152;404;2110;4.970827E-5;0.61661893;0.04437993;0.0968423;3.00807
14682.0;3488.0;21830.0;2567;2041;444;2132;5.012613E-5;0.5851491;0.052807853;0.09766377;3.1429164
14691.0;3570.0;21739.0;2611;2155;437;2213;4.9783714E-5;0.60364145;0.048517838;0.10179861;3.0534697
14730.0;3589.0;21681.0;2618;2176;439;2161;4.9521463E-5;0.606297;0.048157036;0.099672526;3.026734
14712.0;3592.0;21696.0;2652;2183;400;2260;5.0184022E-5;0.60773945;0.043681577;0.104166664;3.0815108
14720.0;3661.0;21619.0;2623;2196;468;2133;4.8673297E-5;0.5998361;0.051154517;0.09866321;2.990722
14698.0;3620.0;21682.0;2650;2164;442;2084;4.98057E-5;0.59779006;0.04910961;0.096116595;3.0796552
14574.0;3664.0;21762.0;2653;2182;424;2164;4.968245E-5;0.595524;0.046806175;0.09943939;3.0938885
14509.0;3711.0;21780.0;2647;2180;443;2178;4.9161543E-5;0.58744276;0.049248952;0.1;3.088562
14483.0;3735.0;21782.0;2642;2203;455;2243;4.8840902E-5;0.589826;0.04996765;0.10297494;3.0535412
14539.0;3719.0;21742.0;2614;2241;457;2195;4.8344256E-5;0.6025813;0.0488358;0.10095667;2.9685593
14577.0;3635.0;21788.0;2622;2230;416;2130;4.9483468E-5;0.61348003;0.044234473;0.09776024;3.0094194
14501.0;3611.0;21888.0;2588;2196;437;2176;4.9424107E-5;0.6081418;0.047422335;0.099415205;3.0156686
14526.0;3566.0;21908.0;2662;2120;454;2160;5.139024E-5;0.59450364;0.051625166;0.09859412;3.181424
14478.0;3654.0;21868.0;2616;2215;417;2195;4.9449354E-5;0.606185;0.044942763;0.100374974;3.0377667
14474.0;3638.0;21888.0;2699;2182;417;2174;5.1256815E-5;0.5997801;0.045874577;0.09932383;3.175494
14366.0;3738.0;21896.0;2623;2290;448;2245;4.884534E-5;0.6126271;0.046426717;0.102530144;2.9645739
14436.0;3623.0;21941.0;2613;2174;468;2168;4.9960203E-5;0.6000552;0.051662758;0.09881045;3.0663695
14459.0;3594.0;21947.0;2604;2124;454;2068;5.0110026E-5;0.590985;0.051667448;0.094227;3.1189501
14377.0;3620.0;22003.0;2625;2235;434;2246;5.0437375E-5;0.6174033;0.045869324;0.10207699;3.041728
14432.0;3576.0;21992.0;2603;2132;445;2231;5.0437102E-5;0.5961969;0.050249547;0.10144598;3.1208832
14505.0;3602.0;21893.0;2566;2139;436;2201;4.911286E-5;0.5938368;0.049163565;0.10053442;3.0552306
14576.0;3593.0;21831.0;2571;2115;450;2187;4.9091523E-5;0.58864456;0.051519606;0.100178644;3.067433
14642.0;3599.0;21759.0;2646;2163;432;2288;5.0212006E-5;0.60100025;0.047893275;0.10515189;3.0952387
14716.0;3650.0;21634.0;2611;2192;442;2203;4.8609843E-5;0.60054797;0.048371997;0.10183045;2.9963536
14750.0;3627.0;21623.0;2659;2168;435;2167;4.970256E-5;0.59773916;0.04824468;0.100217365;3.077635
14693.0;3683.0;21624.0;2659;2182;458;2132;4.9136717E-5;0.5924518;0.050680716;0.09859415;3.0560868
14624.0;3702.0;21674.0;2697;2193;442;2112;4.981709E-5;0.5923825;0.04866746;0.097443946;3.1084683
14481.0;3764.0;21755.0;2724;2270;478;2126;4.9975704E-5;0.6030818;0.05040566;0.09772466;3.0590153
14361.0;3740.0;21899.0;2753;2269;429;2181;5.1256615E-5;0.6066845;0.0451156;0.09959359;3.1455421
14218.0;3795.0;21987.0;2769;2220;472;2146;5.1318348E-5;0.58498025;0.051617738;0.09760313;3.2245371
14067.0;3872.0;22061.0;2792;2304;480;2193;5.1259998E-5;0.59504133;0.050201487;0.09940619;3.1777184
13948.0;3880.0;22172.0;2706;2299;485;2240;5.0001625E-5;0.5925258;0.050934277;0.10102832;3.1082969
13967.0;3802.0;22231.0;2640;2371;423;2233;4.971514E-5;0.62361914;0.041875094;0.10044532;2.9881637
